City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Saldanha,ZA,2020-11-29 05:24:49,-33.01,17.94,59.0,77,1,10.29
129,Westport,US,2020-11-29 05:25:26,41.14,-73.36,39.99,69,1,7.52
130,Ancud,CL,2020-11-29 05:24:45,-41.87,-73.82,43.0,86,0,4.7
131,Pevek,RU,2020-11-29 05:22:35,69.7,170.31,7.29,95,100,11.68
132,Akyab,MM,2020-11-29 05:25:26,20.15,92.9,82.26,55,7,0.6
133,Lebu,CL,2020-11-29 05:24:26,-37.62,-73.65,53.1,83,72,16.4
134,East London,ZA,2020-11-29 05:22:36,-33.02,27.91,66.2,77,0,12.75
135,Luderitz,NA,2020-11-29 05:24:45,-26.65,15.16,60.8,72,0,12.75
136,Airai,TL,2020-11-29 05:24:35,-8.93,125.41,81.9,45,39,4.38
137,Bonthe,SL,2020-11-29 05:25:26,7.53,-12.51,76.23,89,79,2.86
138,Dalnegorsk,RU,2020-11-29 05:25:27,44.56,135.57,19.49,85,32,7.99
139,Kaitangata,NZ,2020-11-29 05:24:26,-46.28,169.85,57.99,68,59,13.0
140,Majene,ID,2020-11-29 05:25:27,-3.54,118.97,87.48,64,56,10.11
141,Boguchany,RU,2020-11-29 05:25:27,58.38,97.45,14.18,91,94,3.47
142,Mount Isa,AU,2020-11-29 05:24:28,-20.73,139.5,109.4,11,0,10.29
143,Sterling,US,2020-11-29 05:21:22,39.01,-77.43,41.0,69,1,3.2
144,Morro Bay,US,2020-11-29 05:25:27,35.37,-120.85,46.99,75,1,4.7
145,Grand Gaube,MU,2020-11-29 05:25:27,-20.01,57.66,80.01,72,8,11.99
146,Olinda,BR,2020-11-29 05:25:27,-8.01,-34.86,77.0,69,40,9.17
147,Horta,PT,2020-11-29 05:25:27,38.53,-28.63,57.52,69,84,29.21
148,Sarangani,PH,2020-11-29 05:25:27,5.4,125.46,83.86,73,80,9.28
149,Goderich,CA,2020-11-29 05:24:51,43.75,-81.72,42.8,68,0,13.87
150,Mercedes,AR,2020-11-29 05:25:27,-34.65,-59.43,66.0,97,20,1.01
151,Rypefjord,NO,2020-11-29 05:25:27,70.63,23.67,39.2,64,80,17.22
152,Kavieng,PG,2020-11-29 05:24:31,-2.57,150.8,84.52,75,97,9.48
153,Kenmare,IE,2020-11-29 05:25:28,51.88,-9.58,48.72,90,75,2.46
154,Castro,BR,2020-11-29 05:24:30,-24.79,-50.01,62.6,98,82,4.21
155,Teloes,PT,2020-11-29 05:25:28,41.31,-8.11,51.01,89,65,3.13
156,Morros,BR,2020-11-29 05:25:28,-9.45,-46.3,72.23,68,98,5.59
157,Nizhniy Kuranakh,RU,2020-11-29 05:25:28,58.84,125.49,3.33,91,100,7.96
158,Clyde River,CA,2020-11-29 05:24:33,70.47,-68.59,-5.8,83,90,20.8
159,Vestmanna,FO,2020-11-29 05:24:42,62.16,-7.17,42.8,93,100,17.22
160,Ipixuna,BR,2020-11-29 05:25:28,-1.76,-48.8,75.2,94,0,4.7
161,Tazovskiy,RU,2020-11-29 05:25:28,67.47,78.7,6.55,94,100,13.35
162,Ruyigi,BI,2020-11-29 05:25:28,-3.45,30.32,61.05,97,95,1.83
163,Hannibal,US,2020-11-29 05:25:28,39.71,-91.36,39.0,69,1,8.05
164,Puerto Ayora,EC,2020-11-29 05:24:30,-0.74,-90.35,70.0,93,96,1.99
165,Voh,NC,2020-11-29 05:25:28,-20.97,164.7,82.11,52,0,6.15
166,Gizo,SB,2020-11-29 05:24:55,-8.1,156.84,85.17,68,100,4.83
167,Namatanai,PG,2020-11-29 05:25:29,-3.67,152.43,84.92,72,65,6.4
168,Khor,RU,2020-11-29 05:25:29,47.89,134.95,15.67,87,100,11.95
169,Tasiilaq,GL,2020-11-29 05:24:31,65.61,-37.64,19.4,48,20,6.93
170,Totma,RU,2020-11-29 05:25:29,59.97,42.76,17.67,97,100,6.29
171,Port Hardy,CA,2020-11-29 05:22:36,50.7,-127.42,44.6,100,90,6.93
172,Torbay,CA,2020-11-29 05:24:42,47.67,-52.73,46.99,100,90,10.29
173,Acari,PE,2020-11-29 05:25:29,-15.43,-74.62,70.2,65,99,2.95
174,Gainesville,US,2020-11-29 05:24:46,29.65,-82.32,64.0,100,90,6.93
175,Coquimbo,CL,2020-11-29 05:24:01,-29.95,-71.34,55.4,87,0,2.24
176,San Pedro De Macoris,DO,2020-11-29 05:25:29,18.46,-69.3,73.99,94,75,7.65
177,Lata,PT,2020-11-29 05:25:29,40.16,-8.33,52.0,93,20,6.93
178,Pangoa,PE,2020-11-29 05:25:29,-12.12,-73.0,69.46,96,100,1.95
179,Chokurdakh,RU,2020-11-29 05:24:28,70.63,147.92,-5.75,92,100,7.92
180,Kande,TG,2020-11-29 05:25:30,9.96,1.04,74.88,65,4,2.04
181,General Pico,AR,2020-11-29 05:21:06,-35.66,-63.76,68.18,51,0,2.17
182,Nueve De Julio,AR,2020-11-29 05:25:30,-35.44,-60.88,64.99,95,0,1.01
183,Nome,US,2020-11-29 05:25:30,64.5,-165.41,15.8,66,20,11.41
184,Chokwe,MZ,2020-11-29 05:25:30,-24.53,32.98,80.53,68,17,9.15
185,Caravelas,BR,2020-11-29 05:22:35,-17.71,-39.25,73.2,89,69,8.93
186,Saint-Augustin,CA,2020-11-29 05:23:30,51.23,-58.65,30.76,98,99,10.8
187,Kropotkin,RU,2020-11-29 05:25:30,45.44,40.58,34.97,86,0,7.2
188,Sinop,TR,2020-11-29 05:25:30,41.77,34.87,42.08,55,0,10.22
189,Ouadda,CF,2020-11-29 05:24:28,8.08,22.4,70.02,31,25,5.75
190,Redding,US,2020-11-29 05:24:57,40.59,-122.39,50.0,56,1,3.96
191,Salekhard,RU,2020-11-29 05:25:31,66.53,66.6,9.77,92,100,8.93
192,Arkhipo-Osipovka,RU,2020-11-29 05:25:31,44.37,38.52,52.52,73,0,10.38
193,Ohara,JP,2020-11-29 05:25:31,35.25,140.38,54.0,62,75,8.05
194,Buchanan,LR,2020-11-29 05:24:30,5.88,-10.05,77.05,87,55,2.44
195,Rurrenabaque,BO,2020-11-29 05:25:31,-14.44,-67.53,72.73,96,100,1.36
196,Clifton,US,2020-11-29 05:25:31,40.86,-74.16,44.6,69,1,7.11
197,Rio Grande,BR,2020-11-29 05:21:25,-32.03,-52.1,71.01,94,100,4.0
198,Komsomolskiy,UZ,2020-11-29 05:25:31,40.43,71.72,37.4,64,1,2.15
199,Poum,NC,2020-11-29 05:24:54,-20.23,164.02,76.71,70,32,7.45
200,Springfield,US,2020-11-29 05:25:07,37.22,-93.3,39.99,69,1,4.7
