City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
147,Saskylakh,RU,71.92,114.08,16.02,94,100,22.77,overcast clouds
148,Vao,NC,-22.67,167.48,73.06,63,0,9.66,clear sky
149,Ambon,ID,-3.7,128.18,82.0,89,97,1.01,overcast clouds
150,Lanzhou,CN,36.06,103.79,33.01,49,100,2.66,overcast clouds
151,Spiesen-Elversberg,DE,49.32,7.13,30.0,100,90,10.29,light rain
152,New Norfolk,AU,-42.78,147.06,64.0,57,100,1.01,overcast clouds
153,Inhambane,MZ,-23.86,35.38,73.8,83,25,4.27,scattered clouds
154,Narsaq,GL,60.92,-46.05,35.6,43,75,11.41,broken clouds
155,Severo-Kurilsk,RU,50.68,156.12,27.79,88,98,6.24,overcast clouds
156,Capinopolis,BR,-18.68,-49.57,92.08,30,34,5.68,scattered clouds
157,Itarema,BR,-2.92,-39.92,82.06,72,1,15.48,clear sky
158,Avon Park,US,27.6,-81.51,73.4,73,90,10.29,overcast clouds
159,Redlands,US,34.06,-117.18,78.01,8,5,0.96,clear sky
160,Axim,GH,4.87,-2.24,79.07,84,47,5.23,scattered clouds
161,Qasigiannguit,GL,68.82,-51.19,17.6,52,75,10.29,broken clouds
162,Kodiak,US,57.79,-152.41,35.6,80,90,33.33,moderate rain
163,Hobyo,SO,5.35,48.53,78.8,77,5,11.79,clear sky
164,Kavaratti,IN,10.57,72.64,82.26,75,65,7.83,light rain
165,Ponta Do Sol,PT,32.67,-17.1,62.6,77,40,25.28,light rain
166,Sambava,MG,-14.27,50.17,75.04,80,0,3.29,clear sky
167,Alofi,NU,-19.06,-169.92,78.8,83,75,6.93,broken clouds
168,Zhuhai,CN,22.28,113.57,64.4,67,20,19.46,few clouds
169,Evensk,RU,61.95,159.23,1.49,74,92,3.4,overcast clouds
170,Charlestown,AU,-32.95,151.67,72.0,86,97,10.04,overcast clouds
171,Swellendam,ZA,-34.02,20.44,60.8,72,12,10.29,few clouds
172,Katsuura,JP,35.13,140.3,50.0,61,20,10.29,few clouds
173,Makat,KZ,47.65,53.35,21.42,88,13,16.37,few clouds
174,Port Keats,AU,-14.25,129.55,82.4,82,44,3.47,scattered clouds
175,Rawson,AR,-43.3,-65.1,79.92,16,0,8.55,clear sky
